Bank,Address,Zip Code,Phone,Safe Stop Hub,Safe Stop Account,Monthly Fee,Min Balance Requirement,Opening Deposit,Opening Fee,US Government Issued ID,SS=1; SS or ITIN = 2; None = 0,Notes
Amalgamated,1212 Fulton Street,11216,718-510-9001,1,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,2067 Bartow Avenue,10475,718.671.1800,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,3770 East Tremont Avenue,10465,718.828.4949,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,94 E. Burnside Avenue,10453,718.841.2665,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,426 86th Street,11209,718.306.1667,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,4502 5th Avenue,11220,718.510.9021,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,275 7th Avenue,10001,212.895.8988,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,1745 Broadway,10019,212.531.9280,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,52 Broadway,10004,212.894.3000,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,301 3rd Avenue,10010,212.679.5305,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,10 East 14th Street,10003,212.823.8708,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,564 West 125th Street,10027,212.531.9280,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,158‐11 Harry Van Arsdale Jr. Avenue,11365,718.380.7083,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,36‐16 21st Street,11106,718.289.7600,0,1,0,0,5,0,0,2,Gvt issued from most countries
Amalgamated,619 Main Street,10044,212.413.8775,0,1,0,0,5,0,0,2,Gvt issued from most countries
Bethex Federal Credit Union,"20 E. 179th Street, LL",10453,718-299-9100,1,1,1 if below monthly balance,10,10,15 OT,0,0,"ID to open: Two Pieces, One Photo ID. Membership: Low- and Moderate-Income New Yorkers"
Bethex Federal Credit Union,75 Varick Street,10013,718.299.9100,0,1,3 if below monthly balance,10,10,15 OT,0,0,"ID to open: Two Pieces, One Photo ID. Membership: Low- and Moderate-Income New Yorkers"
Capital One Bank,161-01 Jamaica Avenue,11432,718-291-2801,1,1,0,25,25,0,1,1,
Capital One Bank,19 East Mount Eden Avenue,10452,718.901.3636,0,1,0,25,25,0,1,1,
Capital One Bank,315 Wyckoff Avenue,11237,718.821.4600,0,1,0,25,25,0,1,1,
Capital One Bank,858 Fulton Street,11238,718.230.3123,0,1,0,25,25,0,1,1,
Capital One Bank,3345 Fulton Street,11208,718.827.3100,0,1,0,25,25,0,1,1,
Capital One Bank,273 East 3rd Street,10009,(646) 602-2194,0,1,0,25,25,0,1,1,
Capital One Bank,333 East 102nd Street,10029,(212) 360-7299,0,1,0,25,25,0,1,1,
Capital One Bank,620 West 181st Street,10033,(212) 568-1037,0,1,0,25,25,0,1,1,
Capital One Bank,146-21 Jamaica Avenue,11435,(718) 657-1500,0,1,0,25,25,0,1,1,
Carver Federal Savings Bank,142 Malcolm X Blvd.,10026,718-230-2900,1,1,0,0,0,0,1,2,Two pieces including one Gvt issued photo
Carver Federal Savings Bank,4 Hanson Place,11217,718.230.2900,0,1,0,0,0,0,1,2,Two pieces including one Gvt issued photo
Carver Federal Savings Bank,1392 Fulton Street,11216,718.230.2900,0,1,0,0,0,0,1,2,Two pieces including one Gvt issued photo
Carver Federal Savings Bank,1009 Nostrand Avenue,11226,718.230.2900,0,1,0,0,0,0,1,2,Two pieces including one Gvt issued photo
Carver Federal Savings Bank,833 Flatbush Avenue,11226,718.230.2900,0,1,0,0,0,0,1,2,Two pieces including one Gvt issued photo
Carver Federal Savings Bank,158-45 Archer Avenue,11433,718.230.2900,0,1,0,0,0,0,1,2,Two pieces including one Gvt issued photo
Carver Federal Savings Bank,115-02 Merrick Boulevard,11434,718.230.2900,0,1,0,0,0,0,1,2,Two pieces including one Gvt issued photo
Carver Federal Savings Bank,75 West 125th Street,10027,718.230.2900,0,1,0,0,0,0,1,2,Two pieces including one Gvt issued photo
Carver Federal Savings Bank,300 West 145th Street,10039,718.230.2900,0,1,0,0,0,0,1,2,Two pieces including one Gvt issued photo
Spring Bank,69 East 167th Street,10452,718-879-5010,1,1,0,0,0,0,0,0,Gvt issued from most countries
Lower Eastside People’s Federal Credit Union,37 Avenue B,10009,212-529-8197,1,1,3 if below monthly balance,25,25,5 Annual,0,2,Gvt issued from most countries. Four free ATMs out of network. How to Join: https://lespeoples.org/about-us/how-do-i-join/
Lower Eastside People’s Federal Credit Union,"2052 Adam Clayton Powell, Jr. Blvd ",10027,212.222.0328,0,1,4 if below monthly balance,25,25,6 Annual,0,2,Gvt issued from most countries. Four free ATMs out of network. How to Join: https://lespeoples.org/about-us/how-do-i-join/
M&T Bank,2644 Atlantic Avenue,11207,718-922-4228,1,1,0,0.01,0,0,1,1,ID to open: US government issued plus a secondary form of ID
M&T Bank,7807 Fifth Avenue,11209,718.680.0200,0,1,0,0.01,0,0,1,1,ID to open: US government issued plus a secondary form of ID
M&T Bank,354 Flatbush Avenue,11238,718.857.1500 ,0,1,0,0.01,0,0,1,1,ID to open: US government issued plus a secondary form of ID
M&T Bank,11 West 42nd Street,10036,212.921.5606,0,1,0,0.01,0,0,1,1,ID to open: US government issued plus a secondary form of ID
M&T Bank,200 5th Avenue,10010,646.638.2115  ,0,1,0,0.01,0,0,1,1,ID to open: US government issued plus a secondary form of ID
M&T Bank,397 23rd Street,10010,212.505.8464,0,1,0,0.01,0,0,1,1,ID to open: US government issued plus a secondary form of ID
M&T Bank,310 Lenox Avenue,10027,212-987-5837,0,1,0,0.01,0,0,1,1,ID to open: US government issued plus a secondary form of ID
M&T Bank,95 Madison Avenue,10016,(212) 481-9207,0,1,0,0.01,0,0,1,1,ID to open: US government issued plus a secondary form of ID
M&T Bank,401 East 55th Street,10022,212.888.9660  ,0,1,0,0.01,0,0,1,1,ID to open: US government issued plus a secondary form of ID
M&T Bank,830 8th Avenue,10019,(212) 664-0274,0,1,0,0.01,0,0,1,1,ID to open: US government issued plus a secondary form of ID
M&T Bank,101-25 Queens Boulevard,11375,718.275.8221 ,0,1,0,0.01,0,0,1,1,ID to open: US government issued plus a secondary form of ID
M&T Bank,1030 Jackson Avenue,11101,718.349.0539 ,0,1,0,0.01,0,0,1,1,ID to open: US government issued plus a secondary form of ID
Neighborhood Trust Federal Credit Union,1112 St. Nicholas Ave.,10032,212-740-0900,1,1,3 if below monthly balance,25,5,0,0,2,Gvt issued from most countries. NTFCU assists with ITIN applications. Four free ATMs out of network. How to Join: http://www.neighborhoodtrustfcu.org/members.htm
Popular Community Bank,2923 Third Ave.,10455,718-292-5934,1,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,310 E. Houston St.,10002,347-748-7190,1,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,15 Graham Ave.,11206,718-388-5101,1,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,83-22 Baxter Ave.,11373,718-335-4301,1,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,1170 Castle Hill Avenue,10452,800.377.0800,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,752 East Tremont Avenue,10457,800.377.0800,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,301 East Fordham Road,10458,800.377.0800,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,1046 Southern Boulevard,10459,800.377.0801,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,8020 Flatlands Avenue,11236,800.377.0802,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,66 Court Street,11201,800.377.0803,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,539 Eastern Parkway,11216,800.377.0804,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,1117 Eastern Parkway,11213,800.377.0805,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,5216 Fifth Avenue,11220,800.377.0806,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,1134 Morris Park Avenue,10461,800.377.0807,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,3851 Nostrand Avenue,11235,800.377.0809,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,1620 Pitkin Avenue,11212,800.377.0810,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,2095 Ralph Avenue,11234,800.377.0811,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,1619 Sheepshead Bay,11235,800.377.0812,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,2852 Broadway,10025,800.377.0813,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,164 East 116th Street,10029,800.377.0814,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,231 West 125th Street,10027,800.377.0815,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,3540 Broadway,10031,800.377.0816,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,1200 St. Nicholas Avenue,10032,800.377.0817,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,90 West 96th Street,10035,800.377.0818,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,134 Delancey Street,10002,800.377.0819,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,175 Dyckman Street,10040,800.377.0820,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,11 West 51st Street,10019,800.377.0822,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,441 Second Avenue,10010,800.377.0823,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,615 West 181st Street,10033,800.377.0824,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,37-47 Junction Boulevard,11368,800.377.0826,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,918 Seneca Avenue,11385,800.377.0827,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Popular Community Bank,28-36 Steinway Street,11103,800.377.0828,0,1,0,0,0.01,0,0,2,Gvt issued from most countries
Ridgewood Savings Bank,3824 White Plains Road,10467,718-882-0440,1,1,2 if below monthly balance,25,25,0,0,1,Two forms of ID
Ridgewood Savings Bank,711 Allerton Avenue,10467,718.882.2220,0,2,3 if below monthly balance,25,25,0,0,1,Two forms of ID
Ridgewood Savings Bank,1745 Crosby Avenue,10461,718.931.7060,0,3,4 if below monthly balance,25,25,0,0,1,Two forms of ID
Ridgewood Savings Bank,1770 East Gun Hill Road,10469,718.671.4600,0,4,5 if below monthly balance,25,25,0,0,1,Two forms of ID
Ridgewood Savings Bank,3445 Jerome Avenue,10467,718.881.3430,0,5,6 if below monthly balance,25,25,0,0,1,Two forms of ID
Ridgewood Savings Bank,1010 Morris Park Avenue,10462,718.792.3750,0,6,7 if below monthly balance,25,25,0,0,1,Two forms of ID
Ridgewood Savings Bank,1134 Morris Park Avenue,10461,718.822.1190,0,7,8 if below monthly balance,25,25,0,0,1,Two forms of ID
Ridgewood Savings Bank,3899 Sedgwick Avenue,10463,718.543.0400,0,8,9 if below monthly balance,25,25,0,0,1,Two forms of ID
Ridgewood Savings Bank,1626 Bruckner Boulevard,10473,718.589.1323,0,9,10 if below monthly balance,25,25,0,0,1,Two forms of ID
Ridgewood Savings Bank,43-14 Ditmars Boulevard,11105,718.274.5400,0,10,11 if below monthly balance,25,25,0,0,1,Two forms of ID
Ridgewood Savings Bank,71-02 Forest Avenue,11385,718.240.4800,0,11,12 if below monthly balance,25,25,0,0,1,Two forms of ID
Union Settlement,237 East 104th Street,10029,212-828-6062,1,1,0,25,20,5,0,0,"Gvt issued from most countries. If no SS or ITIN, account will not bear interest. Union Requirements: http://www.unionsettfcu.org/join.html"